# Database file name:              /home/terminator2/Documents/R_Projects/AnomalyRulesMining/coron-0.8/../shifted.basenum
# Database file size:              21,716 bytes
# Number of lines:                 1,965
# Total number of attributes:      17
# Number of non empty attributes:  17
# Number of attributes in average: 4.58
# Density:                         26.96%
# min_supp:                        5, i.e. 0.25%
# Chosen algorithm:                A-Close

{1} (1588) [key: +; closure: {1}]
{12, 14, 17} (15) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 17}]
{12, 15, 17} (16) [key: +; closure: {1, 6, 12, 15, 17}]
{13, 14, 15} (92) [key: +; closure: {1, 6, 7, 13, 14, 15}]
{13, 15, 17} (25) [key: +; closure: {1, 6, 7, 11, 13, 15, 17}]
{14, 15, 17} (22) [key: +; closure: {1, 6, 7, 11, 13, 14, 15, 17}]

{1, 4, 7, 8} (17) [key: +; closure: {1, 4, 6, 7, 8, 11, 13}]
{1, 4, 7, 17} (13) [key: +; closure: {1, 4, 6, 7, 8, 11, 13, 17}]
{1, 4, 8, 13} (21) [key: +; closure: {1, 4, 6, 8, 11, 13}]
{1, 7, 8, 17} (23) [key: +; closure: {1, 6, 7, 8, 11, 13, 17}]
{1, 7, 11, 17} (40) [key: +; closure: {1, 6, 7, 11, 17}]
{1, 7, 12, 17} (22) [key: +; closure: {1, 6, 7, 12, 17}]
{3, 6, 15, 17} (17) [key: +; closure: {1, 3, 6, 15, 17}]
{3, 7, 11, 17} (15) [key: +; closure: {1, 3, 6, 7, 11, 13, 17}]
{3, 7, 15, 17} (13) [key: +; closure: {1, 3, 6, 7, 15, 17}]
{3, 8, 14, 15} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{3, 11, 13, 17} (15) [key: +; closure: {1, 3, 6, 7, 11, 13, 17}]
{3, 11, 14, 15} (9) [key: +; closure: {1, 3, 6, 7, 11, 13, 14, 15, 17}]
{3, 11, 14, 17} (12) [key: +; closure: {1, 3, 6, 7, 11, 13, 14, 17}]
{3, 13, 15, 17} (12) [key: +; closure: {1, 3, 6, 7, 11, 13, 15, 17}]
{3, 14, 15, 17} (9) [key: +; closure: {1, 3, 6, 7, 11, 13, 14, 15, 17}]
{4, 6, 8, 13} (21) [key: +; closure: {1, 4, 6, 8, 11, 13}]
{4, 7, 8, 13} (17) [key: +; closure: {1, 4, 6, 7, 8, 11, 13}]
{4, 7, 8, 15} (10) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14, 15}]
{4, 7, 9, 17} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 11, 13, 17}]
{4, 8, 12, 15} (10) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14, 15}]
{4, 8, 14, 15} (10) [key: +; closure: {1, 4, 6, 7, 8, 11, 12, 13, 14, 15}]
